Matt Gardine, 2005

Attached is data which comes from the Geophysical Institute at the 
University of Alaska - Fairbanks.  It is from a flux-gate magnetometer 
stationed in Gakona, Alaska and was taken on March 26, 2005.  The 
starting time is 0:00 UTC, the sampling period is 1 minute, and the 
data set covers 24 hours (1440 samples).

Remote Station:  Gakona, AK -- Narod Flux Gate Magnetometer 
Degrees North Latitude and East Longitude 
Geographic  Latitude  : 62.39300 
Geographic  Longitude : 214.8700
Data for Day  85 of 2005, Mar 26 collected by GIMA - 
Geophysical Institute Magnetometer Array

Minute	H-Comp(nT)	D-Comp(nT)	Z-Comp(nT)

nx1=1440
dx1=60 s
fx1=0 s
f=
269	14033.83	-520.911	54298.38
270	14036.15	-520.906	54297.14
271	14036.81	-521.076	54297.07
272	14037.40	-521.267	54297.74
273	14041.72	-520.627	54296.09
274	14042.55	-521.696	54295.05
275	14040.55	-521.707	54296.46
276	14040.90	-521.578	54295.37
277	14042.28	-520.762	54293.91
278	14042.34	-519.580	54293.99
279	14046.37	-518.513	54293.19
280	14049.37	-518.990	54291.40
281	14050.61	-519.236	54290.32
282	14052.96	-519.805	54289.88
283	14053.69	-521.310	54289.05
284	14050.92	-521.944	54289.79
285	14050.13	-520.902	54289.75
286	14053.46	-522.675	54289.91
287	14046.11	-522.322	54290.58
288	14050.18	-516.985	54289.91
289	14049.02	-520.793	54288.12
290	14044.32	-523.145	54290.47
291	14043.31	-520.405	54290.22
292	14052.64	-517.750	54288.07
293	14057.58	-521.299	54287.22
294	14055.18	-522.985	54288.09
295	14053.73	-521.335	54288.16
296	14055.84	-526.173	54288.01
297	14053.35	-526.336	54288.36
298	14054.55	-523.101	54289.60
299	14055.29	-521.694	54289.95
300	14052.01	-522.537	54290.75
301	14049.68	-521.986	54292.46
302	14054.50	-517.622	54292.17
303	14054.65	-519.294	54292.07
304	14051.29	-522.645	54293.25
305	14049.73	-523.183	54294.41
306	14050.92	-521.344	54294.82
307	14052.42	-522.565	54294.70
308	14049.59	-522.393	54296.31
309	14049.16	-518.269	54297.21
310	14049.15	-520.035	54297.50
311	14048.44	-518.734	54297.87
312	14048.84	-516.763	54298.03
313	14050.46	-513.485	54297.16
314	14051.33	-514.034	54296.26
315	14049.87	-516.229	54295.88
316	14046.78	-517.261	54296.39
317	14049.44	-515.615	54294.97
318	14048.23	-518.310	54295.24
319	14047.55	-516.846	54294.43
320	14047.86	-518.500	54293.79
321	14047.05	-517.063	54293.76
322	14046.84	-516.720	54293.48
323	14045.92	-520.034	54293.57
324	14045.46	-520.168	54293.77
325	14046.81	-518.525	54293.50
326	14047.28	-518.876	54293.37
327	14048.74	-518.328	54292.44
328	14048.69	-521.742	54292.18
329	14046.32	-521.948	54291.84
330	14044.72	-524.480	54292.05
331	14043.92	-524.049	54292.44
332	14043.29	-522.511	54292.23
333	14043.28	-523.567	54292.11
334	14041.96	-524.086	54292.13
335	14040.46	-523.449	54292.76
336	14044.91	-519.584	54294.32
337	14049.75	-516.693	54294.44
338	14047.58	-523.531	54293.99
339	14045.11	-529.237	54299.29
340	14041.73	-527.137	54300.43
341	14040.18	-529.423	54298.36
342	14046.16	-524.481	54300.20
343	14060.24	-509.145	54299.88
344	14060.67	-509.850	54295.09
345	14051.23	-520.073	54300.76
346	14040.74	-512.646	54305.51
347	14048.70	-513.343	54304.73
348	14054.63	-513.460	54302.88
349	14055.43	-514.234	54300.84
350	14056.29	-517.649	54300.26
351	14051.77	-518.345	54300.83
352	14053.27	-518.111	54302.76
353	14050.90	-518.563	54303.94
354	14052.18	-514.434	54306.08
355	14054.90	-514.924	54309.67
356	14054.11	-503.962	54311.70
357	14059.19	-503.109	54311.83
358	14062.32	-499.352	54312.01
359	14064.83	-498.719	54311.51
360	14070.94	-497.280	54312.90
361	14070.41	-496.613	54312.23
362	14074.39	-498.009	54311.85
363	14079.46	-498.298	54310.31
364	14082.92	-501.325	54308.84
365	14084.51	-502.168	54306.93
366	14090.19	-509.275	54302.97
367	14103.45	-512.003	54301.24
368	14091.51	-514.302	54297.74
369	14086.69	-510.324	54300.45
370	14084.30	-503.547	54300.71
371	14079.48	-501.756	54300.26
372	14076.03	-499.211	54299.26
373	14072.92	-498.690	54298.72
374	14067.26	-495.702	54301.46
375	14094.37	-484.118	54306.12
376	14115.84	-474.466	54307.98
377	14167.80	-447.203	54314.70
378	14220.20	-424.078	54310.74
379	14271.71	-397.051	54288.67
380	14317.55	-404.539	54263.73
381	14299.64	-413.581	54240.63
382	14276.70	-460.061	54237.81
383	14234.60	-483.992	54238.85
384	14162.54	-494.460	54245.73
385	14115.76	-485.810	54249.89
386	14088.26	-483.676	54238.99
387	14070.36	-487.214	54234.15
388	14053.37	-479.495	54235.56
389	14043.79	-479.443	54225.24
390	14035.77	-493.995	54210.01
391	14036.12	-507.073	54200.21
392	14031.46	-524.966	54196.20
393	14016.76	-527.387	54201.37
394	14006.14	-523.880	54203.24
395	13991.35	-529.074	54188.97
396	13994.44	-543.304	54179.49
397	13997.43	-551.591	54183.07
398	14000.92	-551.614	54188.95
399	14027.35	-539.224	54196.63
400	14061.40	-525.044	54200.21
401	14083.76	-514.249	54202.65
402	14086.09	-517.976	54203.30
403	14080.72	-521.588	54207.72
404	14084.26	-525.298	54206.88
405	14075.66	-533.399	54208.99
406	14075.09	-534.176	54216.73
407	14073.18	-539.013	54214.19
408	14075.80	-548.056	54210.76
409	14079.42	-554.423	54211.22
410	14080.46	-560.422	54213.34
411	14078.98	-565.985	54213.45
412	14066.58	-573.412	54218.41
413	14062.61	-574.128	54229.33
414	14074.86	-561.488	54236.64
415	14083.79	-557.350	54232.22
416	14075.27	-565.736	54229.62
417	14071.64	-569.548	54233.23
418	14081.69	-565.874	54238.26
419	14082.41	-565.121	54242.32
420	14079.18	-565.592	54243.85
421	14079.05	-562.890	54243.83
422	14077.09	-560.230	54244.29
423	14070.00	-558.919	54243.31
424	14064.76	-558.312	54241.97
425	14060.07	-556.725	54243.03
426	14059.17	-555.905	54245.69
427	14060.38	-553.987	54248.04
428	14061.64	-555.864	54251.41
429	14059.51	-553.637	54259.45
430	14063.09	-542.650	54268.93
431	14065.45	-534.969	54276.24
432	14069.17	-530.481	54286.50
433	14077.08	-523.194	54296.29
434	14081.09	-513.346	54302.62
435	14081.69	-501.534	54306.94
436	14080.57	-491.389	54309.05
437	14081.47	-483.380	54308.93
438	14083.74	-474.694	54308.46
439	14083.30	-467.060	54307.75
440	14080.48	-464.092	54306.37
441	14076.29	-461.961	54304.47
442	14083.30	-461.999	54303.57
443	14086.62	-462.277	54302.19
444	14093.43	-462.031	54298.93
445	14098.99	-468.860	54295.06
446	14098.35	-479.200	54293.55
447	14089.22	-489.597	54290.90
448	14078.43	-499.167	54287.30
449	14070.12	-507.654	54285.92
450	14067.48	-510.624	54287.75
451	14065.29	-509.759	54289.52
452	14063.40	-510.274	54290.43
453	14060.36	-511.203	54290.55
454	14060.06	-509.996	54291.10
455	14059.81	-509.230	54291.68
456	14056.98	-509.684	54292.26
457	14056.35	-509.662	54293.39
458	14055.19	-508.971	54294.75
459	14056.23	-507.135	54295.76
460	14053.96	-507.218	54295.30
461	14054.81	-506.832	54295.44
462	14051.26	-508.627	54294.88
463	14051.67	-509.020	54294.74
464	14055.11	-508.085	54295.72
465	14058.12	-508.135	54295.39
466	14057.41	-510.491	54295.62
467	14060.30	-508.753	54296.48
468	14064.34	-507.592	54298.30
469	14068.07	-507.088	54300.30
470	14069.53	-507.877	54301.89
471	14071.53	-504.838	54303.64
472	14072.39	-502.618	54304.87
473	14069.50	-501.005	54305.60
474	14071.09	-502.391	54306.87
475	14074.46	-503.633	54307.19
476	14070.66	-507.763	54306.53
477	14070.86	-509.515	54307.38
478	14071.02	-509.625	54309.31
479	14076.40	-505.226	54312.62
480	14077.58	-500.707	54312.95
481	14084.13	-495.040	54313.97
482	14086.59	-495.232	54313.27
483	14091.91	-495.027	54314.09
484	14079.16	-497.707	54310.75
485	14077.52	-496.546	54309.82
486	14083.84	-491.751	54308.89
487	14084.28	-489.747	54306.63
488	14086.56	-490.032	54306.12
489	14086.62	-489.704	54306.37
490	14094.37	-484.189	54307.70
491	14097.96	-484.253	54306.13
492	14091.15	-481.989	54306.02
493	14087.99	-479.856	54307.44
494	14085.21	-478.993	54307.92
495	14086.35	-474.465	54306.48
496	14093.21	-470.176	54302.34
497	14093.25	-469.678	54294.30
498	14079.41	-474.180	54285.80
499	14059.21	-475.020	54277.80
500	14049.92	-471.705	54271.39
501	14046.52	-471.350	54257.21
502	14044.86	-481.716	54244.27
503	14041.22	-494.745	54240.29
504	14041.19	-503.593	54243.02
505	14037.59	-509.106	54244.99
506	14037.94	-512.671	54248.54
507	14037.24	-514.820	54255.94
508	14037.31	-510.447	54264.80
509	14037.79	-503.850	54269.15
510	14034.45	-500.906	54270.53
511	14037.89	-496.639	54270.92
512	14035.82	-494.968	54268.66
513	14033.48	-490.651	54264.56
514	14021.84	-492.735	54259.79
515	14013.61	-497.161	54255.73
516	14012.83	-498.494	54250.95
517	14005.05	-504.480	54245.73
518	13996.69	-506.304	54242.30
519	13990.03	-505.212	54237.87
520	13985.07	-505.618	54231.69
521	13980.07	-504.819	54225.38
522	13970.10	-512.252	54217.54
523	13952.49	-523.589	54210.29
524	13940.93	-525.703	54204.22
525	13950.29	-524.549	54200.92
526	13967.76	-538.917	54200.20
527	14017.90	-540.402	54201.56
528	14002.00	-553.670	54194.02
529	13972.79	-573.557	54178.70
530	13948.75	-575.279	54161.90
531	13907.20	-575.287	54144.97
532	13883.97	-576.723	54131.43
533	13864.51	-588.207	54116.00
534	13839.67	-604.983	54107.26
535	13821.45	-616.000	54100.20
536	13794.31	-624.400	54097.42
537	13782.81	-632.093	54092.57
538	13771.73	-648.760	54081.64
539	13752.82	-660.794	54071.94
540	13738.36	-673.465	54062.13
541	13714.09	-681.500	54053.26
542	13662.29	-693.796	54047.60
543	13631.76	-692.561	54048.05
544	13588.02	-692.936	54049.12
545	13559.27	-688.036	54059.39
546	13539.01	-688.374	54068.20
547	13508.25	-683.789	54079.47
548	13509.94	-672.200	54081.62
549	13530.37	-662.682	54076.17
550	13486.94	-660.011	54081.09
551	13449.00	-659.484	54093.00
552	13417.24	-646.361	54105.83
553	13403.85	-606.571	54136.34
554	13454.02	-574.416	54149.90
555	13505.68	-532.647	54153.66
556	13539.81	-537.112	54141.16
557	13536.56	-519.007	54147.47
558	13550.37	-509.219	54133.53
559	13590.51	-506.690	54117.86
560	13628.58	-515.425	54092.73
561	13627.15	-534.590	54078.97
562	13659.85	-542.628	54078.10
563	13673.79	-550.999	54080.40
564	13712.30	-573.505	54066.73
565	13740.89	-578.377	54048.60
566	13717.88	-589.945	54046.36
567	13725.84	-595.049	54052.45
568	13755.51	-601.413	54046.02
569	13779.73	-608.002	54046.00
570	13791.40	-605.421	54033.64
571	13808.11	-618.247	54023.08
572	13804.38	-621.990	54022.03
573	13835.28	-633.814	54027.62
574	13820.57	-651.106	54031.80
575	13811.54	-677.348	54041.24
576	13800.03	-676.260	54074.02
577	13802.19	-656.036	54106.10
578	13787.86	-615.250	54134.83
579	13807.91	-591.786	54136.67
580	13807.97	-589.229	54130.63
581	13814.37	-581.864	54131.68
582	13817.45	-563.697	54131.31
583	13826.12	-554.305	54145.56
584	13833.62	-541.186	54164.42
585	13843.06	-528.433	54175.95
586	13863.57	-512.384	54174.71
587	13881.17	-498.270	54174.97
588	13888.58	-486.881	54172.79
589	13882.26	-481.465	54175.65
590	13877.83	-469.281	54179.24
591	13880.15	-470.840	54177.76
592	13895.07	-461.918	54175.85
593	13905.82	-460.590	54176.68
594	13909.97	-453.512	54177.83
595	13937.88	-443.528	54172.86
596	13960.17	-436.168	54167.63
597	13955.14	-435.317	54162.69
598	13960.22	-434.057	54157.92
599	13975.82	-436.406	54151.30
600	13978.59	-438.956	54143.76
601	13971.91	-446.647	54143.42
602	13971.03	-448.243	54148.54
603	13974.86	-446.545	54154.39
604	13986.04	-442.534	54158.38
605	13992.90	-436.498	54160.45
606	13987.91	-431.835	54157.32
607	13961.76	-430.141	54152.86
608	13963.39	-434.446	54151.63
609	14012.02	-441.861	54148.72
610	14045.52	-449.053	54141.88
611	14050.79	-470.711	54136.87
612	14056.99	-483.790	54130.47
613	14047.67	-498.969	54122.50
614	14014.08	-508.199	54119.06
615	13976.38	-512.077	54114.25
616	13945.11	-517.690	54107.52
617	13929.64	-524.327	54100.75
618	13913.91	-535.558	54094.20
619	13887.27	-538.015	54081.81
620	13853.63	-540.021	54072.48
621	13828.63	-546.268	54067.82
622	13792.97	-543.971	54061.66
623	13768.06	-550.359	54062.52
624	13795.61	-549.831	54062.47
625	13810.90	-548.188	54059.74
626	13820.35	-554.731	54057.51
627	13806.27	-552.117	54058.56
628	13804.99	-545.237	54060.63
629	13825.83	-538.938	54056.52
630	13827.77	-535.621	54052.68
631	13847.65	-540.329	54047.15
632	13849.30	-546.680	54048.86
633	13846.46	-550.445	54045.92
634	13854.49	-555.083	54043.06
635	13862.24	-561.046	54039.17
636	13848.31	-566.465	54035.87
637	13838.97	-561.968	54027.76
638	13846.04	-558.783	54029.47
639	13849.90	-552.641	54027.01
640	13849.48	-546.373	54025.65
641	13847.99	-542.751	54030.29
642	13844.36	-539.723	54035.22
643	13852.92	-535.988	54040.92
644	13854.68	-538.934	54045.76
645	13844.74	-536.337	54053.98
646	13853.79	-529.622	54062.00
647	13855.28	-524.644	54072.48
648	13860.97	-513.216	54085.61
649	13921.67	-499.543	54094.06
650	14026.72	-498.237	54091.16
651	14068.54	-498.540	54080.15
652	14010.58	-506.361	54079.83
